Name,Curators Note,Dietary Preference,Link,Must Try,Recommended Time,Tags,Ticket Price,Timings,Trivia
The Old House,They have been around for a long time. They now also have the most beautiful bakery inside. The food is amazing. Try the filter coffee flavored ice cream. It will change your life. The chocolate is good too.,Veg,"google.com/maps/place/The+Old+House/@12.2995816,76.6398944,17z/data=!3m2!4b1!5s0x3baf70079fa6f451:0x64e362beb53a3352!4m6!3m5!1s0x3baf70079922be87:0x53f427de2e28923b!8m2!3d12.2995764!4d76.6424693!16s%2Fg%2F1262yg5br?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=4611527b-ab50-48d1-b184-fa4e39c22adc",,Anytime of the day is the best time to go here. It’s never a disappointment.,"Coffee, Food",,8 am - 11 pm,
Minimal Coffee,My fav coffee pace in Mysore. It a perfect little place. Take your coffee to go and walk around the neighbourhood. Get some coffee beans too.,Veg,"https://www.google.com/maps/place/Minimal+Coffee+Roasters/@12.3322582,76.6235959,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf7b6f17d49a49:0x84c48f205b322e15!8m2!3d12.332253!4d76.6284668!16s%2Fg%2F11flkbprsd?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=296f75f5-f488-41a0-9efc-fe2429ced845",Iced Latte,Anytime.,Coffee,,8 am – 8 pm,
White Teak,"My second fav coffee place. Love the vibe. I also have a special table here where I have broken up with 3 people, so now it is my break up table. ",non veg,"https://www.google.com/maps/place/White+Teak+Coffee+Roasters+%7C+Mysuru/@12.3301969,76.6196318,15z/data=!4m6!3m5!1s0x3baf7b6d8a3f990f:0xab0db788a2ac2962!8m2!3d12.3282387!4d76.6285332!16s%2Fg%2F11rvdd6tl6?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D","Banoffee pie, any kind of eggs on the breakfast menu, orange citrus coffee, iced latte, herb garlic fries.",I really enjoy breakfast and dinner time here.,"Coffee, Food",,7 am – 11 pm,
Sandhya House,It unlimited yelled oota. Make sure you have nothing to do the rest of the day and be prepared to one of the best naps of your life. The staff are super nice ladies who make you feel like you are eating at home.,Veg,"https://www.google.com/maps/place/Sandhyas+House+(Veg+Restaurant)/@12.2919536,76.6406718,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf7004c3975c15:0xffa9c168036b6ad8!8m2!3d12.2919536!4d76.6406718!16s%2Fg%2F11bw5xlknw?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D",Pulliyogre and full meals.,Lunch,Food,,12:30pm – 4 pm. They are closed on Sundays.,"V. Sandhya was born in 1953 into a warrior family from Maharashtra - her ancestors were literally the fighters that Mysore kings would recruit for their armies! Her mother created a unique fusion of Maharashtra and Mysore cooking styles. At 15, Sandhya started practicing Ashtanga yoga with the legendary Sri K. Pattabhi Jois to cure health issues, continuing until she married at 22. After her husband passed away, she found her calling and opened her home restaurant in 1998. She combined her guru's yogic teachings, her grandfather's Ayurvedic knowledge, generations-old family recipes, and adjustments for Western palates to create legendary ""sattvic"" meals. Her very first meal got a standing ovation from the people who enjoyed her cooking. The restaurant still operates from her home. She became internationally famous among yoga practitioners worldwide who come to practice in Mysore. She even publihed a cook book -  ""Mysore Style Cooking”.The book includes over 60 traditional recipes with personal stories and images of life in Mysore. Link to the book - https://www.amazon.in/Mysore-Style-Cooking-V-Sandhya/dp/0980382815. "
Mylari Agrahara,"ICONIC! Just iconic. If there is any mic drop equivalent for food, this deserves it.",Veg,"https://www.google.com/maps/place/Mylari+Hotel+-+Agrahara/@12.2995831,76.6501311,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf70052ba28c3f:0xee3a0a5fc923d7b4!8m2!3d12.2995779!4d76.652706!16s%2Fg%2F11b7xnpgmw?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=78a086ed-64d5-4c19-a6c4-8d13ad0a7625","Masala Dosa ","Early breakfast ",Food,,7 am – 12:30 pm and 3 pm – 8 pm,"Gowramma created the perfect recipe for dosa. Soft, buttery and literally heavenly. Totally different from any other dosa you’ve ever had anywhere in the world. After she passed, her two grandsons inherited the business, but like typical family drama, the brothers couldn't get along and split up. One brother kept the original ""Hotel Mylari"" and the other opened ""Original Vinayaka Mylari"" right across the street serving identical dosas from ajji's recipe! Then things got interesting when this third place ""Mylari Agrahara"" opened near the Palace, and nobody knows the real story - some say it's a distant family member, others think it's one of the cooks from the Nazarbad places who learned the recipe and started his own joint. The guy serves exactly the same dosas though, so whoever he is, he definitely knows the secret! Now about these dosas - they're nothing like the crispy ones you get elsewhere. These are soft, almost spongy, light brown colored, and they literally melt in your mouth like butter. Instead of potato masala, they have sagu - that's green chili-coriander paste with finely chopped onions - and they slap a huge dollop of white benne served with fresh coconut chutney. One bite you'll understand why people have been fighting over the ""original"" recipe for decades. Over the years, lots of big shots have made pilgrimages here - you'll see photos on the walls of cricketers like Rahul Dravid and Anil Kumble who've stopped by, and it was legendary Dr. Rajkumar's favorite dosa place. 
This is the location to the restaurant started by the third guy (no one knows who)."
Halli Hatti,"My top 3. I love going here. My dad loves it. We take all of our guests here. Lovely staff. ",Veg,"https://www.google.com/maps/place/Halli+Hatti/@12.2990161,76.6836963,17z/data=!3m1!4b1!4m6!3m5!1s0x3baf702be2571691:0x71a4881c7abebb54!8m2!3d12.2990109!4d76.6862712!16s%2Fg%2F11gf3g__3g?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=f4409512-b73e-4ab6-8c17-d42fc1156042","Masala Dosa, Chiblu Idly with Thuppa, Masala Vada.","Early morning is best. On weekends, get there at 7:30, it gets super crowded and there will be a line. Week days are more chill.",Food,,7:45 am – 11:45 am. They are closed on Sundays.,"They follow a ‘no bill/paying before eating’ system. If you have ever had a meal in the nearby village, this is how they do it. You eat whatever you want and then go to the counter and name what you ate and pay for it. It places a lot of trust of trust in the customers."
Mysore Coffee Bar,Top 5 dosa places in Mysore. They are run by really nice people who make you feel so welcome. I have skipped so many early morning classes in college to eat here. I hope they can open up a bigger store someday. Rooting for the hard.,Veg,"https://www.google.com/maps/place/Mysuru+Coffee+Bar/@12.3287997,76.580743,14z/data=!4m7!3m6!1s0x3baf7bc61411fdd3:0xc5c89ec20460521f!8m2!3d12.3287997!4d76.6188518!15sChFNeXNvcmUgQ29mZmVlIEJhcloTIhFteXNvcmUgY29mZmVlIGJhcpIBFGJyZWFrZmFzdF9yZXN0YXVyYW50qgFUCgkvbS8wMnZxZm0QASoOIgpjb2ZmZWUgYmFyKAAyHhABIhrX4xy_FDjhX6RJoT5sIlhi11ahkpKgnNA4KTIVEAIiEW15c29yZSBjb2ZmZWUgYmFy4AEA!16s%2Fg%2F11rxp7bmkp?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=d893a488-dac0-4d55-98e9-6c593c08ec56","Masala Dosa, Idly (litrally melts in your mouth like butter), Vada, filter coffee.",I love going here for breakfast.,Food,,They are open from 7 am – 12 pm and 4:30 pm – 9 pm. They are closed on Monday and Sunday evenings.,
"Corner House ","I mean, I sure you already know and love it.",Veg,"https://www.google.com/maps/place/Corner+House+-+V.V+Mohalla/@12.3227897,76.6339607,18.48z/data=!4m7!3m6!1s0x3baf7a9b426d3fd3:0x4bad92a4fa20cb95!8m2!3d12.3228369!4d76.6349451!15sChNjb3JuZXIgaG91c2UgbXlzb3JlWhUiE2Nvcm5lciBob3VzZSBteXNvcmWSAQ5pY2VfY3JlYW1fc2hvcKoBXQoNL2cvMTFiNmducGhrcRABKhAiDGNvcm5lciBob3VzZSgAMh8QASIb3N4jsFgkkV-AlY14jqbK3VBL5yXy5T6HKadYMhcQAiITY29ybmVyIGhvdXNlIG15c29yZeABAA!16s%2Fg%2F11b6gnphkq?entry=tts&g_ep=EgoyMDI1MDgyNS4wIPu8ASoASAFQAw%3D%3D&skid=d2cc9dd1-dd5a-47bc-bec1-f22829c52743",You know your go-to. Get that.,"Its corner house, its a joy any time of the day. ",Food,,11 am–11 pm,
C.C.B.C,"Its a family business run by some wonderfully sweet people. ",Veg,"https://www.google.com/maps/place/Cafe+C.C.B.C/@25.9877678,-0.0188503,3z/data=!4m6!3m5!1s0x3baf7beae10b8995:0xc000ba1497404008!8m2!3d12.322992!4d76.6351691!16s%2Fg%2F11lkq0mxv7?entry=ttu&g_ep=EgoyMDI1MTIwMS4wIKXMDSoASAFQAw%3D%3D","Idly, Chow Chow Bath, and Goli Bajji.",Anytime.,Food,,They are closed on Mondays. The other days they are open from 7–11 am and 4:30–8:30 pm.,"C.C.B.C. stands for ""Chow Chow Bath and Coffee"" - referring to the popular South Indian breakfast combination of kesari bath and upma served together, followed by traditional filter coffee. The cafe was started in 2020 by Mr. Murthy, who has been passionately cooking at home for over 4 decades. He opened C.C.B.C. as his retirement plan, bringing his home-cooking expertise to the public. His daughter is the architect who transformed a garage into the C.C.B.C. cafe."
"Grub Monkeys ","Good burger. ","Veg, non veg","https://www.google.com/maps/place/Grub+Monkeys+Mysore/@12.3247411,75.4111862,9z/data=!4m7!3m6!1s0x3baf7b49a8f53903:0xd5c8b7ca8646ddec!8m2!3d12.3247811!4d76.6306295!15sCgxncnViIG1vbmtleXNaDiIMZ3J1YiBtb25rZXlzkgEEY2FmZaoBNBABMh4QASIamVswiCcOHSDclaGaYI6wDylVc6DRm05x1cIyEBACIgxncnViIG1vbmtleXPgAQA!16s%2Fg%2F11n11qxtk2?entry=tts&g_ep=EgoyMDI1MDkwMy4wIPu8ASoASAFQAw%3D%3D&skid=6340157a-7839-4d4b-9964-3415dac5fcfd",The burgers don’t disappoint at all. They are pretty big though.,Evening is better. Good lighting.,Food,,12 pm – 10 pm,
